track_id,artist_id,label_ids,original_track_id,remix_artist_id,title,url,is_remix
2dknfk3x,c4d7kn,['30bgpz'],1uvdmjnp,c4d7kn,Shine On The Dark Side of The Moon (Neptune Project Out There With Pluto Mix),/track/2dknfk3x/neptune-project-shine-on-the-dark-side-of-the-moon-neptune-project-out-there-with-pluto-mix/index.html,True
431pq5p,5drb0w,['5qd4v7'],48826y5,7929554,I Don't Deserve You (Seven Lions Remix),/track/431pq5p/paul-van-dyk-i-dont-deserve-you-seven-lions-remix/index.html,True
29v4d1n5,4dq92vw,['3mdzth'],29v4d1n5,,Blow Up,/track/29v4d1n5/shelco-garcia-teenwolf-blow-up/index.html,False
1c2zwrsx,331gu8w,['phmt3h'],1c2zwrsx,,Dolphin On Wheels,/track/1c2zwrsx/dillon-francis-kill-the-noise-dolphins-on-wheels/index.html,False
mv07kw5,68txbpn,['t22uw7'],mv07kw5,,What Goes Around,/track/mv07kw5/tom-jame-what-goes-around/index.html,False
11u47khf,3dqnzkw,['21w33fh'],11u47khf,,Can't Get Enough,/track/11u47khf/lookas-cant-get-enough/index.html,False
2l6zrwnf,2mxkb4n,['rvx07z'],2l6zrwnf,,Fulfill,/track/2l6zrwnf/lucky-charmes-fulfill/index.html,False
17ggfhdx,1hmpbd4,['r0zgx7'],17ggfhdx,,Somebody,/track/17ggfhdx/lush-simon-izii-somebody/index.html,False
mt0mkk5,sgz5n4,['gc50sr'],mt0mkk5,,Calabrese,/track/mt0mkk5/mason-calabrese/index.html,False
1lmc6u0x,5llhcxw,['cyhh37'],1lmc6u0x,,Forever Or Nothing,/track/1lmc6u0x/nervo-savi-forever-or-nothing/index.html,False
2583x4lp,mdymd4,['ukrd17'],2583x4lp,,Something To Believe In,/track/2583x4lp/ferry-corsten-something-to-believe-in/index.html,False
npscxh5,62h5gcw,['c62737'],npscxh5,,Anxiety,/track/npscxh5/damn-kids-anxiety/index.html,False
28xvcpn5,14mvm9w,"['171v9mz', '30bgpz']",28xvcpn5,,Oops,/track/28xvcpn5/martin-garrix-oops/index.html,False
12q741c5,907v6p4,"['ul068h', 'jrynbh']",12q741c5,,Brotherhood,/track/12q741c5/killogy-sunstars-brotherhood/index.html,False
ktzqsv5,1fvkgmd,['rvx07z'],ktzqsv5,,Out Of Control,/track/ktzqsv5/tst-alvaro-out-of-control/index.html,False
22f4cbzp,7jyk7tn,,22f4cbzp,,U Got A Friend,/track/22f4cbzp/inpetto-johnny-bravo-u-got-a-friend/index.html,False
29phck8x,ub1hvn,['9vqgbr'],1gp6trtp,6u9m24,Liquid Love (Maor Levi Remix),/track/29phck8x/above-beyond-liquid-love-maor-levi-remix/index.html,True
1xsv4t4p,36pr05n,['bz03rz'],1xsv4t4p,,Horizon,/track/1xsv4t4p/kayzo-horizon/index.html,False
1p9vsqx5,6h3y4qd,['m3k4wz'],1p9vsqx5,,Around You,/track/1p9vsqx5/cdc-around-you/index.html,False
k16uftx,hk4yxd,['5du6tz'],k16uftx,,Collider,/track/k16uftx/eric-prydz-collider/index.html,False
c8z07gf,8zy2lw,['7jjzr7'],3l7rtgf,hk4yxd,Satellite (Eric Prydz Private Re-Edit),/track/c8z07gf/mark-broom-satellite-eric-prydz-private-re-edit/index.html,True
10x6b7t5,5xdsvcd,['tcxm4r'],1xt2749x,xm3xjn,Better (The Cube Guys Remix),/track/10x6b7t5/tello-better-the-cube-guys-remix/index.html,True
11pkqvdp,5tv8j04,['7hj7vz'],1p7dvyxf,8lj1m64,Proud (Juventa Remix),/track/11pkqvdp/kerry-leva-proud-juventa-remix/index.html,True
1wtcmpbf,1ryk6rw,"['53c1nh', 'cyhh37']",1wtcmpbf,,Dreamcatcher,/track/1wtcmpbf/honka-adventurer-dreamcatcher/index.html,False
j3rhm9f,87zvcjn,['n6r35r'],j3rhm9f,,Faith & Hope,/track/j3rhm9f/ultimate-moonsouls-faith-hope/index.html,False
1896pl4f,81bdzd,"['jtp0kz', '539257']",1896pl4f,,Saivan,/track/1896pl4f/reorder-saivan/index.html,False
15dux3zp,v5u7b4,"['30bgpz', 'ptktvr']",76wvcp,wjs54d,Carte Blanche (Sneijder Remix),/track/15dux3zp/veracocha-carte-blanche-sneijder-remix/index.html,True
11tzgypf,6hfjlcn,"['ul068h', 'jrynbh']",248mp0fx,2ur09nn,Another Chance (Syskey Remix),/track/11tzgypf/tom-hills-another-chance-syskey-remix/index.html,True
21ftx9xf,2by2904,['p85nzr'],21ftx9xf,,Fairytaler,/track/21ftx9xf/f.o.o.l-fairytaler/index.html,False
1gsn9wmp,70hl1rd,['ssjg67'],1gsn9wmp,,Thing Called Love,/track/1gsn9wmp/landis-crespo-thing-called-love/index.html,False
2my6ucy5,33l91x4,,2my6ucy5,,Brilliant People,/track/2my6ucy5/giuseppe-ottaviani-aly-fila-brilliant-people/index.html,False
mv23hv5,2rshjpn,[],1jqy0dcx,7y5cjkn,Wings (Marcus Santoro Remix),/track/mv23hv5/delta-goodrem-wings-marcus-santoro-remix/index.html,True
16cw0s7f,bsb7zn,"['3xvxl7', 'q3k2p7']",1xnqbffp,rlvljn,A Sky Full Of Stars(Prod. by Avicii) (Hardwell Remix),/track/16cw0s7f/coldplay-a-sky-full-of-stars-hardwell-remix/index.html,True
257pwyt5,4hntb8d,"['ldhq8r', '539257']",257pwyt5,,Remember Me,/track/257pwyt5/liam-wilson-remember-me/index.html,False
1n9qvhhp,1fssb24,,1n9qvhhp,,Our Story,/track/1n9qvhhp/mako-our-story/index.html,False
1cxz2fbp,whzzqd,['3mdzth'],15dzt73f,,Hey Mister (Dub Mix),/track/1cxz2fbp/tujamo-hey-mister-dub-mix/index.html,True
kxqvbtp,6lrrrtn,,kxqvbtp,,Tiger,/track/kxqvbtp/r3hab-vs-skytech-fafaq-tiger/index.html,False
rjpu8vp,6s86h3n,['p85nzr'],rjpu8vp,,Evaporate,/track/rjpu8vp/trivecta-evaporate/index.html,False
18cpnv5x,6d7504,['x843qz'],18cpnv5x,,Star Walk,/track/18cpnv5x/estiva-star-walk/index.html,False
1txnh3df,6gj5xd,"['j930m7', 'gbr6dh']",1txnh3df,,Raindrop,/track/1txnh3df/grum-raindrop/index.html,False
rkfuqqp,4t1cs9n,['p85nzr'],rkfuqqp,,Heist,/track/rkfuqqp/noisestorm-heist/index.html,False
lwd1ly5,5f51tzw,['539257'],2cqb5ugx,86v62m4,Lonely Dancer (Kris O'Neil Remix),/track/lwd1ly5/carla-werner-lonely-dancer-kris-oneil-remix/index.html,True
8tw5g9p,h8lsj4,"['dkkjlr', 'rlgw8z']",5k59w2f,7gs3csw,Who's Ready To Jump (Dillon Francis Remix),/track/8tw5g9p/chuckie-whos-ready-to-jump-dillon-francis-remix/index.html,True
