id,title,style,soundcloud,youtube,track_count,track_id
1n84pnsk,Nicky Romero - Protocol Radio 199 2016-06-02,"Electro House, Progressive House",[],['e6f51-vtpIs'],14,"['20kn4xmx', '2n3grfg5', 'y2xrnkx', '17dy7vcx', '1t36k71x', '23c112nf', '2whmgdqx', 'ucq1ynx', '1uyth65x', '1t34vbgf', '2qwvcrhf', '2k9s4m0p', 'lx9dnrx', '12rypywx']"
13jfpvyt,"The Prodigy @ Live Stage, Ultra Music Festival Miami, United States 2017-03-25","Drum & Bass, Break, Electronica",[],['LJ32KjVSqiA'],18,"['tgplutf', 'p7rlt5', '1czq5v0p', 'k33f9x', '11s4xv6x', '1f5c355', 'mtmnbzf', '200xth5', '8fp93qf', 'jzjj4tx', 'w82n7sx', '1vt5pf8f', '2fhfhfrp', '5mmz9q5', '9w5ujf', '394fpup', '5q9pct5', '1lfg0zcx']"
6f4vmxk,"Cosmic Gate @ circuitGROUNDS, EDC Las Vegas, United States 2015-06-21","Trance, Progressive House",[],['LPJ7qjc7gCc'],13,"['1r4c6qh5', 'bfpt1tx', 'g6slsnf', '1klk1b1p', '2nxru5wx', '2cp7rl05', '1wrccncf', '1t181cy5', 'bhhh8x5', '1ws4682x', 'yvy0xn5', '2jbc4855', '1bkrstx']"
1p5tmpp1,DIM3NSION - Afterhours.fm Spain In The Mix 003 2016-03-30,"Trance, Progressive House",['256157927'],[],16,"['2dlsbbux', '2bq7jcxf', 'npfydmx', '11rd75gp', 'v60h1mf', '26zpu3sx', '197qg5nf', '246z5yy5', '229j371f', 'k01zvy5', '1p8vjy9x', '2ukn5xfx', '1lk3ttx5', '1u0gqns5', 'x2zy84x', '2pxrt8sx']"
15csxxy9,Firebeatz - Firebeatz Radio 147 2016-12-08,"Electro House, Progressive House",['296815755'],[],18,"['mvsrlrx', '14nc5twx', '1vxfl6dp', '1u1t446p', '1r1vzndx', 'y3ry8hx', '2qxpcufx', 'mvlphtx', '2649hx65', 'j4nyk3x', '10x2sg5x', '1fy62sdf', '1c4ytd2f', '27yvhtv5', '1u15b43x', '21j6kudf', 'h6w1dv5', '14n9hwb5']"
4tcp87t,Qulinez - Recklezz Radio 022 2014-03-18,"Electro House, Progressive House",['140207497'],[],7,"['2m0guyux', 'xxsbwdp', '2pv2gb4x', '12n3s525', '27w2d10f', '2puyp845', '1r3t9yc5']"
4ukr3xk,"SLANDER @ Nocturnal Wonderland, United States 2015-09-05","Electro House, Trap",[],['Bh897pZUvaM'],19,"['6j3zk6f', '7tlh3gx', '238jcfcf', '9gvxt3p', '1gt9fxfp', 'cdz8lb5', '2n27d2mp', '1vtgw5w5', '2qu3n6p5', '18983msp', '2dlcr0lx', '2cnyub2f', '2nzbkk5f', '1b22hhhp', '14l9zn2x', '1mfpqmwp', '2m3z20wx', 'mrfsc75', '1vu8br9x']"
1vqptq1t,David Jones - I Love DJ 113 2016-07-17,"Electro House, Progressive House",[],['f8xHoER3hjI'],15,"['2crb77y5', '1ng8f6cp', 'w7gh65p', '248v3q45', '2ssgzdy5', '2ruuch9f', 'zyq6wk5', 'v9cvmbp', '1uyxr7qf', '1mjfd395', 'ucv4345', '1t38t5tf', '1yq1dyw5', '22ff4utp', '14mllhl5']"
1kgjh2st,Lucas & Steve - Skyline Sessions Maastricht 2016-02-26,"House, Electro House",['248998166'],[],15,"['20jxgcmx', '1q9bw855', '189dnz4f', 'lwrxsyp', '12rh39vx', '13p4z8sp', '12rbn8r5', '1s4wl14x', '1mhd3555', '10vrv9s5', '263tkd8x', '1q992dm5', '197kpunf', 'uc5uvbf', '6yvb4x']"
bcqc7qk,Bobina - Russia Goes Clubbing 437 2017-02-25,"Trance, Progressive House",['309509953'],[],13,"['29wr4695', '1gwdn7kp', 'dfrysmx', '2buh6d85', '1r8qr1v5', 'rmfqtux', '16j9xfzp', '1xt9hrpf', '1b7dzdcf', '249xjzbx', '1hu903sp', '1u1p07j5', 'd94g75']"
2j0ynwt,Tony Junior @ SLAM! Bij Igmar 2015-09-03,"House, Electro House",[],['xtPIACCXvvI'],11,"['tcvzfyp', 'h433pcx', '1s3tdv9f', '11sg3nlp', '20hntzb5', '1zfu84f', '10u0xpmp', '2nzysddf', '1lk4s8jp', 'qkuhml5', '1ux1j4qp']"
